Sport,1896,1900,1904,1906*,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
Aquatics,4.0,8.0,12.0,5,9,14.0,16,17.0,16.0,16.0,16.0,16.0,16,18.0,20,23.0,34.0,34.0,31,31,36.0,38.0,38.0,38,44,44,46,46,46,49,49
Archery,0.0,7.0,6.0,0,3,0.0,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2.0,2,2,2.0,4.0,4.0,4,4,4,4,4,4,5,5
Athletics,12.0,23.0,25.0,21,26,30.0,29,27.0,27.0,29.0,29.0,33.0,33,33.0,34,36.0,36.0,38.0,37,38,41.0,42.0,43.0,44,46,46,47,47,47,48,48
Badminton,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,4.0,5,5,5,5,5,5,5,5
Baseball and Softball,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,2,2,2,2,0,0,2,0
Basketball,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,2,2,2.0,2.0,2.0,2,2,2,2,2,2,4,4
Basque Pelota,0.0,1.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Boxing,0.0,0.0,7.0,0,5,0.0,8,8.0,8.0,8.0,8.0,8.0,10,10.0,10,10.0,11.0,11.0,11,11,12.0,12.0,12.0,12,12,11,11,13,13,13,13
Breaking,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2
Canoeing,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,9.0,9.0,9,9.0,7,7.0,7.0,11.0,11,11,12.0,12.0,16.0,16,16,16,16,16,16,16,16
Cricket,0.0,1.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Croquet,0.0,3.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Cycling,6.0,3.0,7.0,6,7,2.0,6,6.0,6.0,6.0,6.0,6.0,6,6.0,6,7.0,7.0,7.0,6,6,8.0,9.0,10.0,14,18,18,18,18,18,22,22
Equestrian,0.0,5.0,0.0,0,0,5.0,7,5.0,6.0,6.0,6.0,6.0,6,6.0,5,6.0,6.0,6.0,6,6,6.0,6.0,6.0,6,6,6,6,6,6,6,6
Fencing,3.0,7.0,5.0,8,4,5.0,6,7.0,7.0,7.0,7.0,7.0,7,7.0,8,8.0,8.0,8.0,8,8,8.0,8.0,8.0,10,10,10,10,10,10,12,12
Field hockey,0.0,0.0,0.0,0,1,0.0,1,0.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1,2,2.0,2.0,2.0,2,2,2,2,2,2,2,2
Flag football,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Football,0.0,1.0,1.0,1,1,1.0,1,1.0,1.0,0.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2,2,2,2,2,2,2,2
Golf,0.0,2.0,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,2,2
Gymnastics,8.0,1.0,11.0,4,2,4.0,4,9.0,8.0,11.0,9.0,9.0,15,15.0,14,14.0,14.0,14.0,14,14,15.0,15.0,15.0,16,18,18,18,18,18,18,18
Handball,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,1.0,2,2,2.0,2.0,2.0,2,2,2,2,2,2,2,2
Jeu de Paume,0.0,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Judo,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,4.0,0.0,6.0,6,8,8.0,7.0,14.0,14,14,14,14,14,14,15,15
Karate,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,0
Lacrosse,0.0,0.0,1.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Modern Pentathlon,0.0,0.0,0.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,2,2.0,2,2.0,2.0,2.0,2,2,2.0,2.0,2.0,1,2,2,2,2,2,2,2
Polo,0.0,1.0,0.0,0,1,0.0,1,1.0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Rackets,0.0,0.0,0.0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Roque,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Rowing,0.0,5.0,5.0,6,4,4.0,5,7.0,7.0,7.0,7.0,7.0,7,7.0,7,7.0,7.0,7.0,14,14,14.0,14.0,14.0,14,14,14,14,14,14,14,14
Rugby,0.0,1.0,0.0,0,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,2,2
Sailing,0.0,13.0,0.0,0,4,4.0,14,3.0,3.0,4.0,4.0,5.0,5,5.0,5,5.0,5.0,6.0,6,6,7.0,8.0,10.0,10,11,11,11,10,10,10,10
Shooting,5.0,8.0,0.0,16,15,18.0,21,10.0,0.0,2.0,3.0,4.0,7,7.0,6,6.0,7.0,8.0,7,7,11.0,13.0,13.0,15,17,17,15,15,15,15,15
Skateboarding,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,4
Sport Climbing,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,4
Squash,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Surfing,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,2
Table Tennis,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,4.0,4.0,4,4,4,4,4,4,5,5
Taekwondo,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,8,8,8,8,8,8,8
Tennis,2.0,4.0,2.0,4,6,8.0,5,5.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,4.0,4.0,4,4,4,4,5,5,5,5
Triathlon,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,2,2,2,2,3,3
Tug of War,0.0,1.0,1.0,1,1,1.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Volleyball,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,4,4,4,4,4,4,4,4
Water Motorsports,0.0,0.0,0.0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Weightlifting,2.0,2.0,2.0,0,0,0.0,5,5.0,5.0,5.0,5.0,6.0,7,7.0,7,7.0,7.0,9.0,9,10,10.0,10.0,10.0,10,15,15,15,15,15,14,10
Wrestling,1.0,0.0,7.0,4,9,5.0,10,13.0,13.0,14.0,14.0,16.0,16,16.0,16,16.0,16.0,20.0,20,20,20.0,20.0,20.0,20,16,18,18,18,18,18,18
Total sports,43,97,95,76,110,102,156,126,109,117,129,136,149,151,150,163,172,195,198,203,221,237,257,271,300,301,302,302,306,339,329

