country,year_pred,gold_pred,silver_pred,bronze_pred,Total_Weighted_Medals_pred,gold_real,silver_real,bronze_real,Total,year_real,Total_Weighted_Medals_real,Accuracy
China,2024,40,32,20,65.8404,40,27,24,91,2024,64.0294,1.0282838820916642
United States,2024,39,40,30,72.863,40,44,42,126,2024,80.0618,0.9100844597548393
Japan,2024,19,10,12,28.872,20,12,13,45,2024,31.4089,0.9192298998054692
Australia,2024,18,18,21,35.5821,18,19,16,53,2024,34.6318,1.0274400984066667
Great Britain,2024,16,18,15,31.707099999999997,14,22,29,65,2024,36.5309,0.8679528837230945
Italy,2024,15,11,17,27.0467,12,13,15,40,2024,24.6461,1.0974028345255435
Netherlands,2024,15,7,18,24.9104,15,7,12,34,2024,23.0354,1.0813964593625462
Germany,2024,13,9,14,22.8848,12,13,8,33,2024,22.4586,1.0189771401601166
France,2024,18,14,13,30.6333,16,26,22,64,2024,38.7922,0.7896767906950366
South Korea,2024,10,5,8,15.561,13,9,10,32,2024,21.6348,0.7192578623329081
Canada,2024,7,10,13,17.1845,9,7,11,27,2024,16.7229,1.0276028679236258
Brazil,2024,6,9,7,13.697299999999998,3,7,10,20,2024,10.4104,1.3157323445784983
Spain,2024,6,4,2,9.0738,5,4,9,18,2024,10.2613,0.8842739224074923
Denmark,2024,5,12,6,14.2214,2,2,5,9,2024,4.7869,2.9708997472268064
Hungary,2024,5,7,6,11.1604,6,7,6,19,2024,12.1604,0.917765862965034
Ukraine,2024,5,5,7,10.2485,3,5,4,12,2024,7.311,1.4017918205443851
New Zealand,2024,5,4,8,9.9488,10,7,3,20,2024,15.2229,0.6535417036175762
Poland,2024,5,2,5,7.7869,1,4,5,10,2024,5.0113,1.5538682577375131
Jamaica,2024,5,1,3,6.5497,1,3,2,6,2024,3.4616,1.8921019181881211
Switzerland,2024,4,9,5,11.072299999999998,1,2,5,8,2024,3.7869,2.923842720959095
Serbia,2024,4,3,6,7.7116,3,1,1,5,2024,3.9247,1.9648890361046703
Cuba,2024,4,2,4,6.4744,2,1,6,9,2024,4.4872,1.4428596897842754
Croatia,2024,3,5,3,6.9985,2,2,3,7,2024,4.1619,1.681563708882962
India,2024,3,3,3,5.7741,0,1,5,6,2024,2.1747,2.65512484480618
Greece,2024,3,3,2,5.4616,1,1,6,8,2024,3.4872,1.5661849047946776
Israel,2024,3,3,1,5.1491,1,5,1,7,2024,4.3735,1.177340802560878
Norway,2024,2,5,5,6.6235,4,1,3,8,2024,5.5497,1.1934879362848443
Sweden,2024,2,5,0,5.061,4,4,3,11,2024,7.3863,0.6851874416148815
Belgium,2024,2,4,4,5.6988,3,1,6,10,2024,5.4872,1.0385624726636538
Egypt,2024,2,4,3,5.3863,1,1,1,3,2024,1.9247,2.798514054138307
Iran,2024,2,3,4,5.0866,3,6,3,12,2024,7.6107,0.6683485093355408
Romania,2024,2,3,3,4.7741,3,4,2,9,2024,6.0738,0.786015344594817
Turkey,2024,2,3,3,4.7741,0,3,5,8,2024,3.3991,1.404518843223206
Chinese Taipei,2024,2,3,2,4.4616,2,0,5,7,2024,3.5625,1.252378947368421
Ireland,2024,2,3,2,4.4616,4,0,3,7,2024,4.9375,0.9036151898734177
Kenya,2024,2,3,2,4.4616,4,2,5,11,2024,6.7869,0.6573840781505547
Kosovo,2024,2,3,2,4.4616,0,1,1,2,2024,0.9247,4.8249161890342815
Austria,2024,2,2,2,3.8494,2,0,3,5,2024,2.9375,1.3104340425531915
Ethiopia,2024,2,2,2,3.8494,1,3,0,4,2024,2.8366,1.357047169146161
Hong Kong,2024,2,2,2,3.8494,2,0,2,4,2024,2.625,1.4664380952380953
Portugal,2024,2,2,2,3.8494,1,2,1,4,2024,2.5369,1.51736371161654
Slovakia,2024,2,2,2,3.8494,0,0,1,1,2024,0.3125,12.31808
South Africa,2024,2,2,2,3.8494,1,3,2,6,2024,3.4616,1.1120291194823204
Uganda,2024,2,2,2,3.8494,1,1,0,2,2024,1.6122,2.3876690236943308
Morocco,2024,2,1,1,2.9247,1,0,1,2,2024,1.3125,2.228342857142857
Puerto Rico,2024,2,1,1,2.9247,0,0,2,2,2024,0.625,4.67952
Fiji,2024,2,0,1,2.3125,0,1,0,1,2024,0.6122,3.7773603397582494
Bulgaria,2024,1,3,3,3.7741,3,1,3,7,2024,4.5497,0.8295272215750489
Georgia,2024,1,3,2,3.4616,3,3,1,7,2024,5.1491,0.6722728243770756
Indonesia,2024,1,3,2,3.4616,2,0,1,3,2024,2.3125,1.496908108108108
Uzbekistan,2024,1,3,2,3.4616,8,2,3,13,2024,10.1619,0.3406449581279092
Ecuador,2024,1,2,2,2.8494,1,2,2,5,2024,2.8494,1.0
Philippines,2024,1,2,2,2.8494,2,0,2,4,2024,2.625,1.0854857142857144
Qatar,2024,1,2,2,2.8494,0,0,1,1,2024,0.3125,9.11808
Slovenia,2024,1,2,2,2.8494,2,1,0,3,2024,2.6122,1.0908046857055356
Thailand,2024,1,2,2,2.8494,1,3,2,6,2024,3.4616,0.8231453663045991
Tunisia,2024,1,2,2,2.8494,1,1,1,3,2024,1.9247,1.4804385098976465
Algeria,2024,1,0,2,1.625,2,0,1,3,2024,2.3125,0.7027027027027027
Tajikistan,2024,0,3,2,2.4616,0,0,3,3,2024,0.9375,2.6257066666666664
Mexico,2024,0,3,1,2.1491,0,3,2,5,2024,2.4616,0.8730500487487812
Armenia,2024,0,2,2,1.8494,0,3,1,4,2024,2.1491,0.8605462751849612
Kyrgyzstan,2024,0,2,2,1.8494,0,2,4,6,2024,2.4744,0.7474135143873262
Lithuania,2024,0,2,2,1.8494,0,2,2,4,2024,1.8494,1.0
Argentina,2024,0,1,2,1.2372,1,1,1,3,2024,1.9247,0.6428014755546319
Colombia,2024,0,1,2,1.2372,0,3,1,4,2024,2.1491,0.5756828439812015
Kazakhstan,2024,0,1,2,1.2372,1,3,3,7,2024,3.7741,0.3278132534908985
Botswana,2024,0,1,2,1.2372,1,1,0,2,2024,1.6122,0.7673985857834016
Moldova,2024,0,1,2,1.2372,0,1,3,4,2024,1.5497,0.7983480673678777
Albania,2024,0,1,1,0.9247,0,0,2,2,2024,0.625,1.47952
Chile,2024,0,1,1,0.9247,1,1,0,2,2024,1.6122,0.5735640739362361
Cyprus,2024,0,1,1,0.9247,0,1,0,1,2024,0.6122,1.510454099967331
Pakistan,2024,0,1,1,0.9247,1,0,0,1,2024,1.0,0.9247
Zambia,2024,0,1,1,0.9247,0,0,1,1,2024,0.3125,2.95904
Jordan,2024,0,1,0,0.6122,0,1,0,1,2024,0.6122,1.0
Mongolia,2024,0,1,0,0.6122,0,1,0,1,2024,0.6122,1.0
Panama,2024,0,1,0,0.6122,0,1,0,1,2024,0.6122,1.0
Grenada,2024,0,0,2,0.625,0,0,2,2,2024,0.625,1.0
Cabo Verde,2024,0,0,1,0.3125,0,0,1,1,2024,0.3125,1.0
Malaysia,2024,0,0,1,0.3125,0,0,2,2,2024,0.625,0.5
Peru,2024,0,0,1,0.3125,0,0,1,1,2024,0.3125,1.0
Singapore,2024,0,0,1,0.3125,0,0,1,1,2024,0.3125,1.0
Azerbaijan,2024,1,2,2,2.8494,2,2,3,7,2024,4.1619,0.6846392272760038
Bahrain,2024,1,2,1,2.5369,2,1,1,4,2024,2.9247,0.8674052039525422
Guatemala,2024,0,1,1,0.9247,1,0,1,2,2024,1.3125,0.7045333333333333
North Korea,2024,0,1,4,1.8622,0,2,4,6,2024,2.4744,0.7525864856126737
Saint Lucia,2024,1,0,1,1.3125,1,1,0,2,2024,1.6122,0.8141049497580944
